filename,class_idx,dmy
2167_1_A_2.png,2,26.0
2167_12_A_1.png,1,43.2
2167_12_C_2.png,1,43.2
2167_11_B_2.png,1,43.0
2167_2_B_1.png,2,25.7
2167_1_C_1.png,2,26.0
2167_1_A_1.png,2,26.0
2167_12_A_2.png,1,43.2
2167_12_C_1.png,1,43.2
2167_11_B_1.png,1,43.0
2167_2_B_2.png,2,25.7
2167_1_C_2.png,2,26.0
2167_10_D_2.png,1,43.0
2167_13_A_2.png,1,43.0
2167_9_A_2.png,3,19.6
2167_13_C_1.png,1,43.0
2167_10_B_1.png,1,43.0
2167_9_C_1.png,3,19.6
2167_13_A_1.png,1,43.0
2167_9_A_1.png,3,19.6
2167_13_C_2.png,1,43.0
2167_2_D_2.png,2,25.7
2167_9_C_2.png,3,19.6
2167_11_D_1.png,1,43.0
2167_2_A_1.png,2,25.7
2167_2_C_2.png,2,25.7
2167_1_B_2.png,2,26.0
2167_12_B_1.png,1,43.2
2167_11_C_1.png,1,43.0
2167_2_A_2.png,2,25.7
2167_2_C_1.png,2,25.7
2167_9_D_1.png,3,19.6
2167_1_B_1.png,2,26.0
2167_12_B_2.png,1,43.2
2167_11_C_2.png,1,43.0
2167_10_A_1.png,1,43.0
2167_12_D_1.png,1,43.2
2167_1_D_2.png,2,26.0
2167_9_B_2.png,3,19.6
2167_13_B_2.png,1,43.0
2167_10_C_2.png,1,43.0
2167_10_A_2.png,1,43.0
2167_12_D_2.png,1,43.2
2167_9_B_1.png,3,19.6
2167_13_B_1.png,1,43.0
2167_10_C_1.png,1,43.0
2167_5_B_2.png,0,0.0
2167_6_C_2.png,0,0.0
2167_15_C_1.png,1,49.0
2167_16_B_1.png,1,51.5
2167_6_A_1.png,0,0.0
2167_5_B_1.png,0,0.0
2167_6_C_1.png,0,0.0
2167_16_B_2.png,1,51.5
2167_15_A_1.png,1,49.0
2167_6_A_2.png,0,0.0
2167_16_D_1.png,1,51.5
2167_14_C_2.png,1,42.8
2167_5_D_2.png,0,0.0
2167_14_C_1.png,1,42.8
2167_5_D_1.png,0,0.0
2167_14_A_2.png,1,42.8
2167_16_C_2.png,1,51.5
2167_14_D_1.png,1,42.8
2167_5_C_1.png,0,0.0
2167_6_B_1.png,0,0.0
2167_5_A_2.png,0,0.0
